Фразеологізм;Значення
на рівному місці;без якихось видимих причин, безпідставно
неопалима купина;стійкість, незнищенність
земля обітована;предмет чиїх-небудь пристрасних бажань, надій, прагнень
лепта вдовиці;зробити посильний внесок в якусь справу
наріжний камінь;основа чого-небудь, найважливіша частина чого-небудь, головна ідея
мороз пробирає по спині;моторошно, страшно
не за горами;вже незабаром
мов на світ народився (удруге на світ народився);хто-небудь відчуває душевний спокій після страждань, переживань, фізичних мук
до сьомого поту;виснажливо, понад силу
на всю губу;багато, нестримно
з притиском;категорично, суворо, незадоволено
далеко бачити;бути далекоглядним, прозорливим, мудрим
спати і бачити;дуже бажати, хотіти чого-небудь, мріяти про здійснення чогось
